id;hearing_date;next_hearing_date;description;previous_hearing_date;conclusion;comment;case_status;freefield_1;freefield_2;freefield_3;freefield_4;freefield_5;last_modified_by;last_modified
1;parse lavender portals;Analyst Shirt Account;Compatible quantify;Awesome;Frozen;Senior;ONPROGRESS;Avon;Unbranded Health Account;maximize Small;CSS Florida;Toys;blue;Saudi Computers
2;Garden RAM Future;Florida fault-tolerant;Planner Guilder;Pizza;virtual Small;SMS Advanced Tenge;CLEARED;Sharable;Somoni payment Direct;transmit adapter;withdrawal non-volatile;harness Table;Nepal application black;Frozen Wooden
3;Mouse;microchip Factors wireless;generating composite green;compelling Handcrafted;Cambridgeshire;Poland online Grocery;CLEARED;Checking payment;panel;Ergonomic;Fantastic Florida;District;Tobago Centralized;navigating Car
4;Yen olive;intuitive quantifying intermediate;Global Toys;Fantastic system incremental;schemas solutions;copying reboot;ONPROGRESS;markets Bacon invoice;turn-key ivory;Ridge;Small Object-based;Berkshire;green;Soft Unbranded
5;Account Soap Granite;Cambridgeshire Operative;California;National Georgia;input;Solutions synergy calculating;CLEARED;Account applications;Technician;front-end Kiribati Ameliorated;Small Generic Research;Shoes hacking microchip;Bacon customized;XSS
6;Bacon uniform iterate;Rubber Investment Bulgaria;Alaska Books;mobile;matrix e-business;feed Jewelery;ONPROGRESS;drive;Shoes Wallis solid;input;transmit;Handmade;payment Massachusetts;calculating New Metal
7;Analyst Creative analyzing;Phased Home BEAC;e-services;Grocery;Concrete;payment adapter;ONPROGRESS;synthesizing transmitting;3rd Implementation;payment Practical;Somalia throughput;pink Architect Ville;Analyst;Ringgit incubate
8;CSS Health Cotton;sensor Lanka neural-net;XML help-desk hard;Wooden;heuristic Canyon;Gloves Communications;ONPROGRESS;Colon;multi-byte;partnerships;Associate up;Carolina;Soap Practical;Metal
9;Designer;methodical Agent;transform orchestrate;Steel Consultant Developer;Dollar;olive;CLEARED;synergies time-frame incremental;Designer;deposit productivity Plastic;invoice Taiwan;deliver override;Loan;Samoa
10;Regional B2B Infrastructure;Berkshire Division;mobile Designer Outdoors;dot-com User generating;Dollar;bypassing open-source;CLEARED;Afghani withdrawal Factors;orchid Integration blue;Central quantify;Singapore viral synthesizing;Movies Avon;innovative Pass;driver Outdoors Berkshire
